556	58	83.94	0.12
651	49	81.82	0.11
762	47	80.43	0.16
985	94	79.08	0.12
1113	50	77.40	0.11
1253	25	76.96	0.11
1456	45	73.24	0.11
1634	48	72.58	0.19
1779	39	71.27	0.12
2004	27	70.46	0.10
2211	17	68.44	0.10
2382	23	68.36	0.09
2447	24	67.81	0.10
2633	21	65.32	0.11
2799	31	63.75	0.09
2927	35	62.87	0.09
3077	23	63.00	0.23
3225	27	62.42	0.10
3315	81	60.81	0.10
3446	178	59.73	0.09
3754	152	59.17	0.09
3931	26	57.98	0.09
4195	11	55.68	0.10
4480	34	55.13	0.11
4632	54	53.53	0.09
4817	57	53.61	0.08
4989	23	52.01	0.09
5456	29	49.15	0.14
5629	37	47.72	0.08
5894	91	46.16	0.08
6162	31	44.43	0.08
6384	92	43.18	0.07
6560	63	43.29	0.07
6634	36	42.70	0.08
6911	23	41.98	0.10
7134	75	40.62	0.10
7365	61	40.55	0.07
7490	68	40.11	0.10
7629	59	39.14	0.09
7783	95	37.60	0.10
7951	33	36.96	0.09
8050	20	37.09	0.06
8123	26	36.68	0.12
8131	26	37.19	0.16
8134	27	36.24	0.08
8137	27	36.63	0.12
8140	27	36.92	0.09
8145	28	36.80	0.09
8150	28	36.42	0.16
8156	28	36.27	0.15
8161	29	36.51	0.09
8167	29	36.69	0.09
8172	29	36.86	0.09
8178	30	36.84	0.08
8183	30	36.89	0.08
8189	30	36.54	0.08
8194	30	36.59	0.09
8200	30	36.67	0.08
8205	30	36.52	0.12
8211	30	36.38	0.09
8217	30	36.38	0.16
8222	30	36.13	0.09
8225	30	35.48	0.09
8228	30	35.84	0.09
8234	30	35.72	0.08
8239	30	35.49	0.08
8245	29	35.90	0.08
8251	29	35.98	0.08
8257	29	35.81	0.09
8263	29	35.89	0.09
8269	29	35.88	0.10
8275	29	35.65	0.09
8281	29	35.59	0.09
8288	29	35.82	0.12
8371	29	34.48	0.06
8472	27	34.06	0.35
8609	33	33.63	0.08
8765	25	33.53	0.06
8927	16	32.49	0.07
9110	18	32.76	0.08
9246	21	32.61	0.06
9402	23	33.79	0.08
9509	26	33.07	0.08
9595	28	33.18	0.36
